#
# This is a header
#
ID	I	D	D12	D25	D50	D75	D100	D200	D400	R12	R25	R50	R75	R100	R200	R400
CM000201.fasta	2027894.068	0.999999	0.258952	0.934373	0.99029	0.997911	0.999313	0.999776	0.999823	0.913745	0.083602	0.014543	0.00367	0.001315	0.000448	0.000355
CM000208.fasta	241677.6047	0.999994	0.799708	0.98241	0.996593	0.99879	0.99927	0.999882	1	0.334998	0.027583	0.005673	0.002238	0.001387	0.000235	0
CM000209.fasta	8266376.462	1	0.075479	0.927234	0.984255	0.994896	0.997573	0.999602	0.999924	0.987319	0.089988	0.022021	0.008147	0.004148	0.000758	0.000147
CM000302.fasta	3304876.111	1	0.171781	0.91838	0.991957	0.99825	0.999488	0.999977	0.999997	0.956927	0.09937	0.011356	0.002792	0.000914	0.000046	0.000006
CM000377.fasta	8565152.425	1	0.080343	0.973375	0.997254	0.999349	0.9997	0.999931	0.999983	0.988632	0.034987	0.004284	0.00117	0.000558	0.000133	0.000033
CM000452.fasta	127757.2774	0.99999	0.828737	0.995378	0.99984	0.999992	1	1	1	0.277751	0.006966	0.000295	0.000016	0	0	0
CM000515.fasta	5628172.35	1	0.102877	0.980794	0.997152	0.999056	0.999501	0.99992	0.999993	0.978766	0.032824	0.004914	0.001695	0.000925	0.000159	0.000015
CM000530.fasta	892147.0829	0.999998	0.407368	0.977969	0.99719	0.999074	0.999477	0.999889	0.999972	0.815421	0.04081	0.005297	0.001792	0.001027	0.000221	0.000057
CM000572.fasta	1497614.803	0.999999	0.306274	0.935562	0.997268	0.99956	0.999755	0.999952	0.999994	0.879218	0.085698	0.004991	0.00087	0.000488	0.000097	0.000013
CM000575.fasta	514887.6597	0.999998	0.726237	0.999447	0.999972	1	1	1	1	0.476903	0.000932	0.00005	0	0	0	0
CM000580.fasta	280165.5954	0.999995	0.834858	0.999133	0.999896	0.99999	0.999996	1	1	0.302874	0.001649	0.000199	0.000019	0.000008	0	0
CM000592.fasta	309279.3976	0.999996	0.819353	0.998478	0.99993	0.999979	0.999989	1	1	0.329425	0.002786	0.000139	0.000042	0.000022	0	0
CM000612.fasta	63131.67795	0.999979	0.933106	0.986899	0.998797	0.999874	0.999954	0.999999	0.999999	0.127847	0.025313	0.002276	0.00025	0.00009	0	0
CM000638.fasta	185520.4567	0.999993	0.838103	0.996008	0.999509	0.99988	0.999919	1	1	0.289285	0.006471	0.000839	0.000201	0.000139	0	0
CM000692.fasta	89360.45033	0.999986	0.910915	0.997102	0.999826	0.999999	0.999999	0.999999	0.999999	0.161333	0.004555	0.000332	0	0	0	0
CM000767.fasta	2273785.349	0.999999	0.234457	0.805634	0.963053	0.989551	0.995128	0.99921	0.999809	0.921759	0.25932	0.060493	0.019126	0.00917	0.001539	0.000375
CM000769.fasta	2511400.223	0.999999	0.224754	0.814149	0.962901	0.988946	0.994825	0.99934	0.999924	0.93059	0.246975	0.060122	0.019957	0.009608	0.001279	0.000148
CM000777.fasta	10508626	1	0.055557	0.638508	0.895884	0.96277	0.982178	0.997357	0.999441	0.996902	0.441158	0.151404	0.060924	0.030876	0.005026	0.0011
CM000799.fasta	2165800.219	0.999999	0.239686	0.941706	0.990493	0.99752	0.999107	0.999958	1	0.924097	0.07254	0.013735	0.004079	0.001587	0.000082	0
CM000829.fasta	2695113.352	0.999999	0.210103	0.943564	0.994437	0.998619	0.999297	0.999742	0.999804	0.941374	0.081444	0.009412	0.002525	0.001363	0.000516	0.000392
CM000831.fasta	77767.02576	0.999983	0.82759	0.978856	0.997587	0.999136	0.999412	0.99978	1	0.265811	0.031156	0.003971	0.001487	0.001024	0.000387	0
CM000850.fasta	1961286.58	0.999999	0.235642	0.914241	0.986206	0.996328	0.998279	0.999754	0.999961	0.910963	0.118827	0.023295	0.006858	0.00329	0.000488	0.000077
CM000875.fasta	2091766.903	0.999999	0.246571	0.95533	0.997014	0.999542	0.999847	0.999967	0.999986	0.92219	0.058117	0.004703	0.000831	0.000291	0.000065	0.000029
CM000906.fasta	1231285.899	0.999999	0.378598	0.997429	0.999938	0.999993	0.999998	1	1	0.843632	0.004066	0.000121	0.000013	0.000005	0	0
CM000907.fasta	1581568.467	0.999999	0.317465	0.996661	0.999908	0.999972	0.999984	0.999999	1	0.884788	0.005062	0.000174	0.000056	0.000033	0.000002	0
CM000917.fasta	1370953.871	0.999999	0.407937	0.989397	0.998271	0.999784	0.999922	0.99999	1	0.812565	0.012801	0.002065	0.000264	0.000104	0.000018	0
CM001221.fasta	2053043.954	0.999999	0.23017	0.9472	0.992004	0.997213	0.998237	0.999265	0.999597	0.91552	0.080738	0.014291	0.005381	0.003451	0.001459	0.000806
CM001222.fasta	846753.2188	0.999996	0.360761	0.916007	0.986676	0.99465	0.996105	0.997639	0.998137	0.82186	0.136058	0.024591	0.010442	0.007662	0.004682	0.003726
CM001276.fasta	8546932.193	1	0.07611	0.953952	0.996081	0.998538	0.999027	0.999539	0.999826	0.987949	0.058309	0.005638	0.002135	0.001423	0.000698	0.000313
CM001294.fasta	2016568.963	0.999999	0.252282	0.928013	0.995021	0.998516	0.999136	0.999665	0.999891	0.912606	0.092443	0.007518	0.002318	0.001345	0.00054	0.00019
CP000048.fasta	58404.82107	0.999978	0.826424	0.99859	0.999742	0.999951	0.999979	1	1	0.293173	0.001975	0.000392	0.000097	0.000042	0	0
CP000496.fasta	168322.9806	0.999992	0.84554	0.993421	0.999264	0.99988	0.999935	0.999994	1	0.276445	0.010152	0.001345	0.000239	0.000129	0.000011	0
CP000828.fasta	378955.8705	0.999996	0.747861	0.985972	0.997174	0.998842	0.999087	0.999446	0.999635	0.433432	0.021596	0.005153	0.002258	0.001791	0.001108	0.000729
CP001037.fasta	467715.8118	0.999997	0.648821	0.98758	0.99754	0.999082	0.99928	0.999602	0.999798	0.560682	0.018765	0.004379	0.00178	0.001407	0.000796	0.000403
CP001141.fasta	63043.90297	0.99998	0.946331	0.993088	0.999286	0.999954	0.999999	0.999999	0.999999	0.101535	0.012979	0.001402	0.00009	0	0	0
CP001681.fasta	303262.3844	0.999996	0.721506	0.996811	0.999292	0.999673	0.999803	0.999976	1	0.464747	0.005638	0.001382	0.000653	0.000394	0.000047	0
CP001699.fasta	521051.0419	0.999998	0.652962	0.994848	0.999207	0.999808	0.999896	1	1	0.565787	0.007935	0.001436	0.000358	0.000196	0	0
CP001982.fasta	297898.6266	0.999996	0.704644	0.994138	0.99867	0.999611	0.99977	0.999964	1	0.473083	0.007744	0.002428	0.000777	0.00046	0.000072	0
CP002287.fasta	388592.3324	0.999997	0.504741	0.99853	0.999842	1	1	1	1	0.681896	0.00274	0.000316	0	0	0	0
CP002987.fasta	239101.285	0.999995	0.73491	0.992903	0.999543	0.999946	0.999981	1	1	0.433832	0.012395	0.000855	0.000108	0.000037	0	0
CP003170.fasta	487814.5014	0.999997	0.362766	0.99638	0.999587	0.999909	0.999956	1	1	0.801987	0.006402	0.000778	0.000182	0.000087	0	0
CP003348.fasta	258946.609	0.999995	0.802876	0.993793	0.999346	0.999895	0.999952	1	1	0.349634	0.010514	0.001264	0.00021	0.000095	0	0
CP003872.fasta	294691.6518	0.999995	0.58296	0.995287	0.999105	0.999547	0.99963	0.999743	0.999821	0.609508	0.007779	0.001643	0.00089	0.000733	0.000514	0.000357
CR380954.fasta	68786.35974	0.999981	0.922862	0.998341	0.999956	0.999999	0.999999	0.999999	0.999999	0.143603	0.002875	0.000085	0	0	0	0
CU234118.fasta	410416.1247	0.999997	0.487456	0.996495	0.999705	0.999932	0.999967	1	1	0.6992	0.005594	0.000551	0.00013	0.000064	0	0
CU329672.fasta	149095.2511	0.999991	0.807052	0.985349	0.998531	0.999724	0.99984	0.999987	1	0.324993	0.025228	0.002783	0.000545	0.00032	0.000025	0
CU928173.fasta	72580.11529	0.999982	0.915701	0.996221	0.999304	0.999802	0.999921	0.999999	0.999999	0.154453	0.006437	0.00134	0.000394	0.000157	0	0
DG000010.fasta	1215548.287	0.999999	0.37535	0.978949	0.997292	0.999241	0.999643	0.999953	0.999997	0.82747	0.031293	0.004447	0.001283	0.000614	0.000089	0.000006
FA000001.fasta	365359.748	0.999995	0.396576	0.721657	0.934639	0.978663	0.990294	0.998785	0.999739	0.759153	0.379298	0.102544	0.036421	0.017593	0.002397	0.000523
FM178379.fasta	191091.3136	0.999988	0.74979	0.935677	0.967937	0.978687	0.981813	0.987926	0.992964	0.389308	0.08059	0.050918	0.038166	0.033285	0.022838	0.013406
FN543502.fasta	308759.6039	0.999995	0.695391	0.981737	0.995215	0.997674	0.998082	0.998586	0.998815	0.485812	0.02744	0.008606	0.00449	0.003747	0.002827	0.002371
FN554974.fasta	267926.2827	0.999995	0.786768	0.98156	0.996012	0.998456	0.99909	0.999774	0.999861	0.355417	0.028378	0.0066	0.002843	0.001765	0.000451	0.000278
FO082874.fasta	214126.6553	0.999994	0.769612	0.99734	0.999804	0.999992	0.999999	1	1	0.384876	0.004708	0.000376	0.000016	0.000002	0	0
FP929060.fasta	151007.8018	0.999992	0.845856	0.999714	0.999962	0.999996	1	1	1	0.278056	0.000507	0.000071	0.000007	0	0	0
FR798980.fasta	34355.82809	0.999953	0.912272	0.979976	0.987998	0.989372	0.990367	0.994163	0.99899	0.143284	0.026975	0.013551	0.012086	0.011345	0.007786	0.00159
GCA_000002035.2.fasta	2804998.64	0.999999	0.190985	0.916075	0.985239	0.994529	0.996712	0.998641	0.999419	0.940429	0.116015	0.0219	0.008433	0.005204	0.002207	0.00102
GCA_000151905.1.fasta	9510156.195	1	0.067513	0.931499	0.99111	0.995969	0.996815	0.997423	0.997618	0.989768	0.087168	0.012395	0.005124	0.003753	0.002747	0.002499
HE601630.fasta	514411.1358	0.999997	0.50011	0.954269	0.996704	0.99913	0.999422	0.999756	0.999905	0.695914	0.067482	0.006073	0.001717	0.001147	0.000488	0.000191
HE616744.fasta	84244.49059	0.999985	0.93135	0.998845	0.999884	0.999908	0.999928	0.999999	0.999999	0.131389	0.002292	0.00023	0.000183	0.000143	0	0
HE616749.fasta	55649.2393	0.999977	0.942017	0.990148	0.99869	0.999972	1	1	1	0.10728	0.016467	0.002614	0.000056	0	0	0
HE806319.fasta	90309.70689	0.999986	0.818022	0.995556	0.999711	0.999987	0.999999	0.999999	0.999999	0.304065	0.007862	0.000552	0.000025	0	0	0
HE978314.fasta	84368.85742	0.999985	0.933318	0.997634	0.999946	0.999999	0.999999	0.999999	0.999999	0.12652	0.004612	0.000107	0	0	0	0
NC_003070.9.fasta	1558482.367	0.999999	0.323279	0.976876	0.996416	0.998833	0.999308	0.999789	0.999909	0.867174	0.035571	0.006377	0.002226	0.001336	0.000418	0.000182
NC_007605.fasta	11903.3482	0.999863	0.85521	0.908375	0.982132	0.996283	0.998206	0.999994	0.999994	0.183253	0.119923	0.031907	0.007163	0.003463	0	0
NC_008394.4.fasta	2148927.208	0.999999	0.292987	0.943216	0.991972	0.997778	0.998811	0.999714	0.999909	0.901314	0.082676	0.014135	0.004279	0.002332	0.000569	0.000182
NC_008397.2.fasta	1738817.537	0.999999	0.326802	0.917105	0.986658	0.996099	0.997996	0.999575	0.999893	0.872498	0.119884	0.023305	0.007468	0.003926	0.00085	0.000215
NC_008398.2.fasta	1491849.355	0.999999	0.358744	0.927079	0.988087	0.996468	0.998167	0.999614	0.999864	0.845341	0.104925	0.020604	0.006721	0.003573	0.000767	0.000273
NC_008399.2.fasta	1560992.291	0.999999	0.350128	0.932286	0.989081	0.996261	0.997687	0.999031	0.999405	0.853621	0.099964	0.019117	0.007128	0.004515	0.001934	0.00119
NC_008400.2.fasta	1488705.799	0.999999	0.359191	0.931358	0.990055	0.997024	0.998317	0.999535	0.99981	0.845696	0.101838	0.017535	0.005687	0.003279	0.000925	0.000379
NC_008401.2.fasta	1424791.696	0.999999	0.365337	0.929683	0.990285	0.997339	0.998634	0.999681	0.999874	0.8393	0.104672	0.017256	0.005129	0.002687	0.000637	0.000252
NC_008403.2.fasta	1169317.448	0.999999	0.413367	0.940445	0.992206	0.997927	0.998973	0.999733	0.999897	0.798109	0.090359	0.013863	0.003951	0.001991	0.00052	0.000203
NC_008467.1.fasta	1613347.808	0.999999	0.283797	0.972567	0.997257	0.999129	0.999413	0.99971	0.999795	0.883918	0.045963	0.005232	0.001735	0.001172	0.000581	0.000411
NT_024477.14.fasta	63720.85535	0.999978	0.794689	0.959407	0.997079	0.999392	0.999766	0.999999	0.999999	0.287649	0.05751	0.005125	0.001163	0.000445	0	0
NT_024498.12.fasta	24874.73795	0.999944	0.873878	0.964556	0.995212	0.998782	0.999516	0.999997	0.999997	0.175405	0.050365	0.007704	0.002235	0.000904	0	0
NT_029928.13.fasta	217689.731	0.999993	0.656765	0.941276	0.99722	0.999526	0.999798	0.999991	1	0.484421	0.080521	0.005006	0.000943	0.000403	0.000018	0
NT_077528.2.fasta	25378.48293	0.99994	0.541601	0.913296	0.998448	0.999784	0.999924	0.999998	0.999998	0.569026	0.129714	0.003064	0.000428	0.000147	0	0
NT_078094.2.fasta	54094.46855	0.999974	0.799875	0.966359	0.998647	0.999604	0.999816	0.999999	0.999999	0.281733	0.048952	0.002353	0.000726	0.000343	0	0
NT_167185.1.fasta	169068.638	0.999991	0.645476	0.902941	0.985936	0.99525	0.997134	0.999205	0.999777	0.522018	0.153963	0.025601	0.009363	0.005697	0.00159	0.000445
NT_167196.1.fasta	43260.2954	0.999964	0.63961	0.905698	0.992971	0.997942	0.99889	0.999927	0.999999	0.446527	0.131221	0.011734	0.003747	0.002094	0.000143	0
